iter	Passed	Remaining
0	1	120
1	2	120
2	3	116
3	4	110
4	5	111
5	6	109
6	8	108
7	9	105
8	10	104
9	11	102
10	12	100
11	13	99
12	14	97
13	15	97
14	17	96
15	18	97
16	19	96
17	20	95
18	22	94
19	23	93
20	24	92
21	25	91
22	27	90
23	28	89
24	29	87
25	30	85
26	31	84
27	32	83
28	33	81
29	34	80
30	35	79
31	36	77
32	38	77
33	38	75
34	39	74
35	40	72
36	41	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	63
43	48	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	56
49	55	55
50	56	53
51	57	52
52	58	51
53	59	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	67	41
62	68	39
63	68	38
64	69	37
65	70	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	27
74	81	27
75	82	26
76	83	25
77	84	23
78	85	22
79	86	21
80	89	20
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	99	11
90	100	9
91	101	8
92	101	7
93	102	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
