iter	Passed	Remaining
0	149	149805
1	152	75849
2	153	51152
3	155	38779
4	159	31802
5	161	26792
6	163	23206
7	165	20527
8	167	18405
9	168	16701
10	171	15456
11	174	14370
12	176	13387
13	178	12556
14	180	11857
15	183	11272
16	185	10719
17	187	10226
18	189	9785
19	191	9381
20	193	9009
21	195	8677
22	200	8524
23	203	8286
24	205	8020
25	207	7763
26	208	7524
27	210	7298
28	212	7109
29	213	6913
30	215	6723
31	216	6543
32	217	6374
33	218	6217
34	220	6069
35	221	5924
36	222	5786
37	223	5657
38	224	5533
39	226	5433
40	227	5326
41	229	5234
42	230	5134
43	231	5039
44	233	4955
45	234	4866
46	235	4780
47	236	4695
48	238	4624
49	240	4568
50	241	4497
51	243	4430
52	244	4372
53	246	4311
54	247	4258
55	248	4197
56	249	4135
57	251	4078
58	252	4021
59	253	3967
60	255	3926
61	256	3878
62	257	3831
63	258	3783
64	259	3735
65	260	3688
66	261	3648
67	263	3605
68	264	3563
69	265	3522
70	266	3484
71	267	3445
72	268	3415
73	270	3383
74	271	3348
75	272	3314
76	273	3280
77	275	3257
78	276	3228
79	278	3198
80	279	3167
81	280	3138
82	280	3103
83	281	3074
84	283	3047
85	284	3027
86	286	3002
87	287	2977
88	288	2951
89	289	2925
90	290	2900
91	291	2876
92	292	2851
93	293	2828
94	294	2805
95	295	2781
96	296	2759
97	297	2738
98	299	2721
99	300	2703
100	301	2684
101	302	2664
102	303	2646
103	304	2627
104	306	2610
105	307	2591
106	308	2572
107	309	2554
108	310	2537
109	311	2520
110	312	2502
111	314	2490
112	315	2475
113	316	2459
114	317	2444
115	318	2427
116	319	2409
117	320	2395
118	322	2385
119	323	2371
120	324	2355
121	325	2339
122	326	2325
123	327	2311
124	329	2305
125	330	2294
126	331	2280
127	332	2266
128	333	2254
129	335	2243
130	336	2230
131	337	2218
132	338	2206
133	339	2193
134	340	2181
135	341	2170
136	343	2161
137	344	2151
138	345	2141
139	346	2131
140	348	2120
141	348	2107
142	349	2095
143	350	2084
144	351	2073
145	352	2062
146	353	2052
147	354	2043
148	355	2032
149	356	2021
150	360	2025
151	361	2015
152	362	2007
153	363	1999
154	365	1990
155	366	1982
156	367	1974
157	369	1966
158	370	1958
159	371	1948
160	371	1937
161	375	1942
162	376	1934
163	377	1926
164	378	1917
165	379	1908
166	380	1899
167	381	1891
168	382	1882
169	383	1874
170	384	1865
171	386	1860
172	388	1855
173	389	1848
174	390	1842
175	392	1835
176	393	1827
177	394	1820
178	395	1813
179	396	1805
180	397	1799
181	398	1792
182	400	1787
183	401	1780
184	402	1774
185	404	1768
186	405	1761
187	406	1755
188	407	1750
189	408	1743
190	409	1736
191	411	1731
192	412	1724
193	413	1718
194	414	1711
195	415	1704
196	416	1697
197	417	1692
198	419	1686
199	420	1680
200	421	1676
201	422	1670
202	423	1664
203	425	1658
204	426	1653
205	427	1648
206	428	1643
207	430	1637
208	431	1632
209	433	1630
210	434	1626
211	436	1620
212	437	1615
213	438	1609
214	439	1603
215	440	1597
216	441	1591
217	442	1585
218	443	1580
219	444	1574
220	445	1568
221	446	1563
222	447	1559
223	448	1554
224	449	1549
225	451	1544
226	452	1540
227	453	1535
228	454	1530
229	455	1526
230	457	1521
231	458	1517
232	459	1512
233	460	1508
234	462	1506
235	464	1502
236	465	1497
237	466	1492
238	467	1487
239	468	1482
240	469	1477
241	470	1473
242	471	1468
243	472	1463
244	473	1458
245	474	1454
246	475	1449
247	476	1446
248	478	1442
249	479	1438
250	480	1434
251	481	1429
252	483	1426
253	484	1422
254	485	1418
255	486	1414
256	487	1410
257	489	1406
258	490	1402
259	491	1399
260	493	1395
261	494	1392
262	495	1388
263	496	1384
264	497	1380
265	498	1376
266	499	1371
267	500	1367
268	501	1362
269	502	1358
270	503	1354
271	504	1349
272	505	1345
273	507	1343
274	508	1340
275	509	1336
276	510	1332
277	511	1329
278	513	1326
279	514	1322
280	515	1320
281	518	1319
282	519	1315
283	520	1311
284	521	1308
285	522	1305
286	524	1301
287	525	1298
288	526	1294
289	527	1291
290	528	1287
291	529	1283
292	530	1279
293	531	1276
294	532	1273
295	533	1269
296	534	1266
297	536	1264
298	538	1261
299	539	1258
300	540	1255
301	542	1253
302	543	1250
303	544	1247
304	545	1244
305	547	1241
306	548	1238
307	550	1237
308	552	1234
309	554	1234
310	556	1232
311	557	1229
312	558	1225
313	559	1222
314	560	1219
315	562	1216
316	563	1213
317	564	1210
318	568	1213
319	569	1211
320	571	1208
321	572	1205
322	573	1202
323	574	1198
324	575	1195
325	576	1192
326	577	1189
327	579	1187
328	580	1184
329	582	1181
330	583	1178
331	584	1175
332	585	1172
333	586	1168
334	587	1165
335	588	1162
336	589	1159
337	590	1155
338	591	1152
339	592	1149
340	593	1146
341	597	1149
342	598	1146
343	599	1144
344	601	1141
345	602	1139
346	604	1136
347	605	1133
348	606	1131
349	607	1128
350	610	1128
351	611	1125
352	613	1123
353	614	1121
354	615	1118
355	616	1115
356	617	1112
357	618	1109
358	619	1105
359	620	1103
360	621	1100
361	622	1097
362	623	1094
363	624	1091
364	626	1089
365	627	1086
366	628	1083
367	629	1081
368	630	1078
369	631	1075
370	633	1073
371	634	1070
372	635	1067
373	636	1065
374	637	1062
375	639	1061
376	640	1058
377	641	1055
378	642	1053
379	643	1050
380	644	1047
381	645	1044
382	646	1042
383	648	1039
384	649	1036
385	650	1033
386	650	1031
387	651	1028
388	652	1025
389	654	1023
390	655	1021
391	656	1018
392	658	1016
393	659	1013
394	660	1011
395	661	1008
396	662	1006
397	663	1003
398	664	1001
399	665	998
400	667	996
401	668	994
402	670	992
403	671	989
404	672	987
405	673	984
406	674	982
407	675	980
408	676	977
409	677	975
410	678	972
411	679	970
412	680	967
413	681	964
414	682	962
415	684	961
416	685	959
417	687	956
418	688	954
419	689	952
420	690	950
421	692	948
422	693	945
423	694	943
424	695	940
425	696	938
426	699	938
427	701	936
428	702	934
429	703	932
430	704	929
431	705	927
432	706	924
433	707	922
434	708	920
435	709	917
436	710	915
437	711	913
438	713	911
439	714	909
440	715	907
441	716	904
442	717	902
443	719	900
444	720	898
445	721	895
446	722	893
447	723	891
448	724	888
449	725	886
450	726	884
451	728	882
452	730	881
453	731	879
454	733	878
455	734	876
456	736	874
457	737	873
458	738	871
459	740	868
460	741	866
461	742	864
462	743	862
463	745	860
464	746	858
465	747	856
466	748	854
467	749	851
468	750	849
469	751	847
470	752	844
471	753	842
472	754	840
473	755	838
474	756	836
475	758	834
476	759	832
477	760	830
478	761	828
479	762	826
480	764	824
481	765	822
482	766	820
483	767	817
484	768	815
485	769	813
486	770	811
487	771	809
488	772	807
489	774	806
490	775	804
491	777	802
492	778	800
493	779	798
494	780	795
495	780	793
496	782	791
497	783	789
498	784	788
499	785	785
500	787	784
501	789	782
502	790	781
503	792	779
504	793	777
505	794	775
506	795	773
507	796	771
508	797	769
509	798	767
510	799	764
511	800	762
512	801	760
513	803	759
514	804	757
515	805	755
516	806	753
517	807	750
518	808	748
519	809	747
520	810	745
